source_row	gene_symbol	source_genetic_defect	disease	inheritance	mechanism	is_dominant	is_recessive	is_x_linked	omim	major_category	subcategory
224	IL10	IL10	IL-10 deficiency	AR		false	true	false	124092	Table 4 Diseases of Immune Dysregulation	Subtable 5 Immune Dysregulation with Colitis
225	IL10RA	IL10RA	IL-10Ra deficiency	AR		false	true	false	146933	Table 4 Diseases of Immune Dysregulation	Subtable 5 Immune Dysregulation with Colitis
226	IL10RB	IL10RB	IL-10Rb deficiency	AR		false	true	false	123889	Table 4 Diseases of Immune Dysregulation	Subtable 5 Immune Dysregulation with Colitis
227	IL12B	IL12B	IL-12p40 (IL-12 and IL-23) deficiency	AR		false	true	false	161561	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)
228	IL12RB1	IL12RB1	IL-12 and IL-23 receptor b1 chain deficiency	AR		false	true	false	601604	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)
229	IL12RB2	IL12RB2	IL-12Rb2 deficiency	AR		false	true	false		Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)
230	IL17F	IL17F	IL-17F deficiency	AD		true	false	false	606496	Table 6 Defects in intrinsic and innate immunity	Subtable 6 Predisposition to Mucocutaneous Candidiasis
231	IL17RA	IL17RA	IL-17RA deficiency	AR		false	true	false	605461	Table 6 Defects in intrinsic and innate immunity	Subtable 6 Predisposition to Mucocutaneous Candidiasis
232	IL17RC	IL17RC	IL-17RC deficiency	AR		false	true	false	610925	Table 6 Defects in intrinsic and innate immunity	Subtable 6 Predisposition to Mucocutaneous Candidiasis
233	IL18BP	IL18BP	IL-18BP deficiency	AR		false	true	false		Table 6 Defects in intrinsic and innate immunity	Subtable 9 Other inborn errors of immunity related to leukocytes
234	IL1R1	IL1R1	CRMO3 IL1R1 disorder	AD		true	false	false		Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions
235	IL1RN	IL1RN	DIRA (Deficiency of the Interleukin 1 Receptor Antagonist)	AR		false	true	false	612852	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions
236	IL21	IL21	IL-21 deficiency	AR		false	true	false	615767	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency
237	IL21R	IL21R	IL-21R deficiency	AR		false	true	false	615207	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency
238	IL23R	IL23R	IL-23R deficiency	AR		false	true	false		Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)
239	IL27RA	IL27RA	IL-27RA deficiency	AR		false	true	false		Table 4 Diseases of Immune Dysregulation	Subtable 7 Susceptibility to EBV and Lymphoproliferative Conditions
240	IL2RA	IL2RA	CD25 deficiency	AR		false	true	false	147730	Table 4 Diseases of Immune Dysregulation	Subtable 3 Regulatory T Cell Defects
241	IL2RB	IL2RB	CD122 deficiency	AR		false	true	false	618495	Table 4 Diseases of Immune Dysregulation	Subtable 3 Regulatory T Cell Defects
242	IL2RG	IL2RG	gc deficiency (common gamma chain SCID, CD132 deficiency)	XL		false	false	true	308380	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID
243	IL36RN	IL36RN	DITRA (Deficiency of IL-36 receptor antagonist)	AR		false	true	false	614204	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions
244	IL6R	IL6R	IL6 receptor deficiency	AR		false	true	false	147880	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)
245	IL6ST	IL6ST	IL6 signal transducer (IL6ST) deficiency	AR		false	true	false	618523	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)
246	IL6ST	IL6ST	IL6 signal transducer (IL6ST) deficiency	AD	DN	true	false	false		Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)
247	IL7R	IL7R	IL7Ra deficiency	AR		false	true	false	146661	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID
248	INO80	INO80	INO80	AR		false	true	false	610169	Table 3 Predominantly Antibody Deficiencies	Subtable 3 Severe Reduction in Serum IgG and IgA with Normal/Elevated IgM and Normal Numbers of B cells, Hyper IgM
249	IRAK1	IRAK1	IRAK1 deficiency	XL		false	false	true	Not yet attributed	Table 6 Defects in intrinsic and innate immunity	Subtable 7 TLR Signaling Pathway Deficiency with Bacterial Susceptibility
250	IRAK4	IRAK4	IRAK4 disorder	AR	GOF	false	true	false		Table 6 Defects in intrinsic and innate immunity	Subtable 7 TLR Signaling Pathway Deficiency with Bacterial Susceptibility
251	IRAK4	IRAK4	IRAK4 deficiency	AR		false	true	false	606883	Table 6 Defects in intrinsic and innate immunity	Subtable 7 TLR Signaling Pathway Deficiency with Bacterial Susceptibility
252	IRF1	IRF1	IRF1 deficiency	AR		false	true	false	620668	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)
253	IRF2BP2	IRF2BP2	IRF2BP2 deficiency	AD		true	false	false	615332	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype
254	IRF3	IRF3	IRF3 deficiency	AD		true	false	false	616532	Table 6 Defects in intrinsic and innate immunity	Subtable 4 Herpes Simplex Encephalitis (HSE)
255	IRF4	IRF4	IRF4 multimorphic R95T	AD		true	false	false		Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency
